ActualTime,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,Combined_Action_Sum
2025-06-27 16:12:57.766,9.751583099365234,-3.7493197917938232,0.7613561153411865,-2.5387558937072754,0.4129449129104614,-0.8014551997184753,-8032,1852,1957,3251,-245,2882,2
2025-06-27 16:12:57.857,9.751583099365234,-3.7493197917938232,0.7613561153411865,-2.5387558937072754,0.4129449129104614,-0.8014551997184753,-8064,2271,1917,457,353,1934,2
2025-06-27 16:12:57.958,9.823410034179688,-3.49314022064209,0.2633621990680694,-1.284038782119751,0.221133217215538,-0.8417723178863525,-7523,2198,2254,2809,-611,492,2
2025-06-27 16:12:58.058,10.44590187072754,-3.6822822093963614,-0.3854664862155914,-1.655444860458374,0.4312708675861358,-0.6487388610839844,-7530,2926,2028,3912,406,418,2
2025-06-27 16:12:58.158,10.213664054870604,-3.4811692237854004,0.6153098344802856,-1.224173903465271,0.1197295859456062,-0.1600466966629028,-8204,2698,978,3705,2404,-111,2
2025-06-27 16:12:58.258,10.706870079040527,-2.7533318996429443,0.811634361743927,0.5717698931694031,-0.180816113948822,0.0720821022987365,-7922,1985,108,4144,1221,93,2
2025-06-27 16:12:58.386,10.06043529510498,-1.556231141090393,1.7860745191574097,0.2736676335334778,-0.0109955742955207,0.1258382350206375,-7796,-1126,-985,2353,-433,-615,2
2025-06-27 16:12:58.471,9.648633003234863,-1.6089035272598269,1.759738206863403,-0.5351179838180542,0.3176499307155609,-0.5546656250953674,-7796,-1126,-985,2353,-433,-615,2
2025-06-27 16:12:58.570,9.945513725280762,-1.9584569931030276,3.8738183975219727,-0.4434881806373596,0.0745255574584007,0.0549778714776039,-7796,-1126,-985,2353,-433,-615,2
2025-06-27 16:12:58.677,8.2312650680542,-0.8140285611152649,2.387019157409668,-0.988379955291748,0.5778785347938538,0.130725160241127,-7151,154,-239,1212,-253,1950,2
2025-06-27 16:12:58.758,8.382100105285645,-2.140416383743286,1.764526605606079,-0.4715879559516907,0.2260201424360275,0.251676470041275,-7270,420,-516,1194,-303,2005,2
2025-06-27 16:12:58.875,8.544905662536621,-1.4508862495422363,3.641580820083618,0.5155702829360962,0.140499010682106,-0.1295034289360046,-7270,420,-516,1194,-303,2005,2
2025-06-27 16:12:58.961,8.051700592041016,-1.7334020137786863,2.8107926845550537,-0.4251621961593628,-0.2871066629886627,0.2138028293848037,-7270,420,-516,1194,-303,2005,2
2025-06-27 16:12:59.061,7.833827972412109,-1.8507179021835327,2.0231003761291504,-0.4789183437824249,-0.3506366610527038,0.0598647929728031,-7137,1379,42,-246,-146,2565,2
