Timestamp,Gyro_x_x,Gyro_y_x,Gyro_z_x,Acc_x_x,Acc_y_x,Acc_z_x,Gyro_x_y,Gyro_y_y,Gyro_z_y,Acc_x_y,Acc_y_y,Acc_z_y,combined_action_num
15-06-2024 11:28,0.172263995,0.058643065,-0.047647487,-0.883460403,-9.694122314,1.139639974,52.72222222222222,-6.472222222,74.53472222222223,-8229.534722,1496.0,-672.0,11
15-06-2024 11:28,-0.039095376,0.02321288,-0.065973446,-0.804451764,-9.88805294,1.125274777,57.65714285714286,-38.31428571,83.85714285714286,-8229.657143,1513.0857142857142,-679.2285714,11
15-06-2024 11:28,0.04642576,-0.017104227,-0.018325957,-0.756567717,-10.02212811,1.173158884,37.0431654676259,-124.3453237,64.81294964028777,-8208.0,1530.8848920863309,-682.1007194,11
15-06-2024 11:28,0.025656341,0.004886922,0.013439035,-0.737414122,-9.99100399,1.185129881,39.20143884892087,58.3884892086331,55.460431654676256,-8208.0,1525.1294964028775,-687.1366906,11
15-06-2024 11:28,0.025656341,0.004886922,0.013439035,-0.737414122,-9.99100399,1.185129881,30.227272727272727,98.9090909090909,98.5340909090909,-8208.852273,1522.375,-680.3068182,11
15-06-2024 11:28,0.299323976,-0.029321533,-0.073303826,-0.59615624,-9.761159897,1.59693253,26.69047619047619,20.30952380952381,61.07142857142857,-8206.404762,1691.095238095238,-685.5714286,11
15-06-2024 11:28,0.299323976,-0.029321533,-0.073303826,-0.59615624,-9.761159897,1.59693253,39.86516853932584,-117.6966292,50.69662921348315,-8224.224719,1504.4719101123596,-691.1123596,11
15-06-2024 11:28,0.101403631,-0.05375614,-0.006108652,-0.691924274,-9.821015358,1.37427175,77.91954022988506,32.34482758620689,70.85057471264368,-8215.574713,1524.7931034482758,-701.3563218,11
15-06-2024 11:29,0.230907068,-0.178372651,-0.007330383,-0.919373453,-8.413225174,1.59693253,58.48888888888889,91.74444444444444,72.95555555555555,-8211.533333,1516.5555555555557,-686.3444444,11
15-06-2024 11:29,0.230907068,-0.178372651,-0.007330383,-0.919373453,-8.413225174,1.59693253,52.04651162790698,-93.39534884,81.72093023255815,-8203.976744,1771.4883720930234,-702.3488372,11
15-06-2024 11:29,-0.052534413,-0.039095376,-0.035430186,-0.624886632,-9.768342972,2.317587137,34.88372093023256,73.83720930232558,87.83720930232558,-8196.232558,1815.4883720930231,-710.8837209,11
15-06-2024 11:29,-0.052534413,-0.039095376,-0.035430186,-0.624886632,-9.768342972,2.317587137,12.4,95.6,54.4,-8202.4,1744.6,-683.2,11
15-06-2024 11:29,-0.0842994,0.052534413,0.052534413,-0.620098233,-9.39484787,2.109291792,20.921348314606742,116.51685393258428,21.97752808988764,-8204.224719,1497.3370786516855,-666.8314607,11
15-06-2024 11:29,-0.0842994,0.052534413,0.052534413,-0.620098233,-9.39484787,2.109291792,64.93333333333334,110.77777777777776,56.8,-8231.644444,1487.2888888888888,-661.9111111,11
15-06-2024 11:29,-0.291993588,-0.004886922,-0.147829384,-0.526724398,-9.751583099,1.642422318,74.84210526315789,73.15789473684211,80.42105263157895,-8207.710526,1524.1315789473683,-675.4210526,11
15-06-2024 11:29,-0.287106663,0.037873644,-0.064751714,-0.404620081,-10.09156036,0.730231524,72.21052631578948,75.78947368421052,79.10526315789474,-8207.052632,1522.157894736842,-674.1052632,11
15-06-2024 11:29,-0.287106663,0.037873644,-0.064751714,-0.404620081,-10.09156036,0.730231524,12.093023255813954,-104.8255814,7.860465116279069,-8236.651163,1507.953488372093,-671.2674419,11
15-06-2024 11:29,-0.054977871,-0.012217305,-0.057421334,-0.143652096,-10.12747288,1.206677675,27.651685393258425,108.75280898876404,12.651685393258427,-8250.52809,1468.7752808988764,-668.2696629,11
15-06-2024 11:29,-0.141720742,0.025656341,-0.006108652,-0.14844051,-9.969455719,0.859518409,30.099447513812155,102.42541436464089,56.6243093922652,-8216.049724,1469.624309392265,-685.4475138,11
15-06-2024 11:29,-0.701273322,0.074525557,0.02687807,-0.270544797,-10.0412817,-0.586579442,95.1931818181818,90.70454545454544,84.22727272727273,-8229.738636,1482.4772727272727,-659.9318182,11
15-06-2024 11:29,-0.701273322,0.074525557,0.02687807,-0.270544797,-10.0412817,-0.586579442,97.0,72.44444444444444,72.06666666666666,-8229.333333,1506.5555555555557,-670.9555556,11
15-06-2024 11:29,-0.711047173,-0.07696902,0.036651913,-0.138863698,-10.24718285,-0.969651699,82.64367816091954,86.7816091954023,72.67816091954023,-8213.62069,1516.2298850574712,-651.1494253,11
15-06-2024 11:29,-0.216246292,-0.10751228,-0.040317107,-0.227449164,-9.591172218,-0.663193882,35.33695652173913,-114.6847826,65.21739130434783,-8227.184783,1505.1521739130435,-647.0652174,11
15-06-2024 11:29,-0.216246292,-0.10751228,-0.040317107,-0.227449164,-9.591172218,-0.663193882,26.55555555555556,111.55555555555556,60.73333333333333,-8240.177778,1470.111111111111,-647.8444444,11
15-06-2024 11:29,-0.206472457,0.04642576,0.028099801,-0.165199921,-10.25436592,-1.805228114,29.011494252873565,-65.79310345,86.29885057471265,-8224.471264,1505.7471264367816,-647.5287356,11
15-06-2024 11:29,-0.136833817,0.034208454,0.009773844,-0.292092621,-9.821015358,-2.042253971,24.59550561797753,-83.17977528,68.48314606741573,-8219.05618,1499.943820224719,-664.1910112,11
15-06-2024 11:29,0.129503429,0.057421334,0.112399206,-0.244208574,-9.670180321,-2.324769735,78.93023255813954,89.11627906976744,77.87209302325581,-8229.837209,1498.9883720930231,-668.0697674,11
