Timestamp,Gyro_x_x,Gyro_y_x,Gyro_z_x,Acc_x_x,Acc_y_x,Acc_z_x,Gyro_x_y,Gyro_y_y,Gyro_z_y,Acc_x_y,Acc_y_y,Acc_z_y,combined_action_num
2024-06-15 12:37:43,0.004886921961,0.2333505303,0.02443460934,-12.15296745,1.496376038,7.884106159,527.8461538461538,1.3846153846153868,542.7692307692307,-7749.7692307692305,2730.6153846153848,-1459.923076923077,3
2024-06-15 12:37:43,0.4544837475,0.2443460971,-0.2492330223,-5.961562157,-0.624886632,5.142745018,-65.85714285714283,85.42857142857143,-235.0,-7700.0,3137.8571428571427,-1574.2857142857142,3
2024-06-15 12:37:43,-0.06841690838,-0.4776966274,-0.1356120855,-4.527435303,-0.5961562395,4.048594952,-786.3258426966293,391.5955056179776,-371.1123595505618,-7769.966292134832,2471.5730337078653,-1455.6404494382025,3
2024-06-15 12:37:43,0.01343903504,-0.4398229718,0.09896016866,-12.77306652,2.923320293,7.297526836,-855.9318181818181,339.65909090909093,140.27272727272728,-7835.886363636364,2499.25,-1590.1136363636365,3
2024-06-15 12:37:43,0.3164281845,0.3494149148,0.334754169,-7.675810814,1.628057122,5.374982834,-245.6,97.30526315789471,489.9,-7573.3,2351.0421052631577,-1323.0526315789473,3
2024-06-15 12:37:43,0.3164281845,0.3494149148,0.334754169,-7.675810814,1.628057122,5.374982834,214.4,-1.6421052631579016,599.9,-7443.3,2699.463157894737,-1533.578947368421,3
2024-06-15 12:37:43,-0.3103195429,0.2089159191,0.07941248268,-4.635174274,1.343147159,3.708618402,-51.58441558441558,259.7012987012987,-230.05194805194805,-7453.974025974026,3124.0,-1866.896103896104,3
2024-06-15 12:37:43,-0.3103195429,0.2089159191,0.07941248268,-4.635174274,1.343147159,3.708618402,-177.42696629213484,320.4719101123595,-235.9438202247191,-7352.966292134832,2826.258426966292,-1887.6067415730336,3
2024-06-15 12:37:44,-0.1466076523,-0.1172861308,-0.1001819,-11.55681133,2.597708941,6.598419666,-189.51724137931035,-53.62068965517241,-584.1724137931035,-7782.931034482759,2473.206896551724,-1707.1379310344828,3
2024-06-15 12:37:44,0.1539380401,0.2382374406,-0.004886921961,-7.644686222,2.145204782,5.008669853,-345.7241379310345,-318.0,307.6896551724138,-7740.862068965517,2304.9655172413795,-1514.5172413793102,3
2024-06-15 12:37:44,0.1539380401,0.2382374406,-0.004886921961,-7.644686222,2.145204782,5.008669853,611.7865168539327,-272.5730337078652,585.8202247191011,-7701.977528089887,2695.561797752809,-1812.2696629213483,3
2024-06-15 12:37:44,-0.2260201424,-0.1759291887,-0.1050688252,-6.014234543,1.929726601,2.885013103,374.1588235294117,-195.63529411764705,179.44117647058823,-7590.188235294117,2841.335294117647,-1863.2470588235287,3
2024-06-15 12:37:44,-0.04642575979,-0.1869247705,-0.2663372457,-12.04044056,1.371877551,8.832210541,-851.5842696629213,2.6292134831460743,-834.9887640449438,-7701.123595505618,2840.067415730337,-1640.123595505618,3
2024-06-15 12:37:44,-0.04642575979,-0.1869247705,-0.2663372457,-12.04044056,1.371877551,8.832210541,-799.0,-194.8695652173913,-747.195652173913,-7579.45652173913,2428.4565217391305,-1577.4782608695652,3
2024-06-15 12:37:44,0.02809980139,0.432492584,0.1722639948,-6.636727333,0.5339069963,5.092466831,-1079.8333333333333,192.66666666666663,-62.5,-7978.0,2214.25,-1479.4166666666667,3
2024-06-15 12:37:44,0.02809980139,0.432492584,0.1722639948,-6.636727333,0.5339069963,5.092466831,-18.16483516483516,-49.472527472527474,1222.2637362637363,-7796.857142857143,2458.769230769231,-1415.3516483516482,3
2024-06-15 12:37:44,0.1001819,-0.07941248268,0.08674286306,-6.404489517,0.4548983276,4.127603531,1357.7954545454545,-220.04545454545453,538.340909090909,-7329.886363636364,3018.840909090909,-1471.8636363636365,3
2024-06-15 12:37:44,0.2809980214,-0.05742133409,-0.0720821023,-11.06599998,2.978386879,5.961562157,557.4285714285714,-313.02197802197804,-32.15384615384613,-7470.065934065934,3079.6153846153848,-1434.8131868131868,3
2024-06-15 12:37:45,0.2809980214,-0.05742133409,-0.0720821023,-11.06599998,2.978386879,5.961562157,-493.34482758620686,301.60919540229884,-236.51724137931035,-7520.35632183908,2829.2528735632186,-1478.9080459770114,3
2024-06-15 12:37:45,0.4056145251,0.1368338168,-0.1685988009,-6.670246124,0.6560112834,5.442020416,-773.5,262.0,-482.0,-7787.0,2640.5,-1847.0,3
2024-06-15 12:37:45,0.1368338168,-0.1820378453,-0.141720742,-6.081272125,-0.2657563984,4.369418144,347.0689655172414,15.586206896551722,491.5862068965517,-7749.448275862069,2514.2758620689656,-1467.5172413793102,3
2024-06-15 12:37:45,0.1368338168,-0.1820378453,-0.141720742,-6.081272125,-0.2657563984,4.369418144,809.3863636363636,-295.45454545454544,789.9545454545455,-7380.431818181818,2840.3863636363635,-1808.159090909091,3
2024-06-15 12:37:45,-0.2724458873,0.0,0.004886921961,-10.3309803,3.665522814,6.169857979,246.1123595505618,-343.8314606741573,-31.42696629213484,-7490.516853932584,3375.808988764045,-1452.9662921348315,3
2024-06-15 12:37:45,-0.2724458873,0.0,0.004886921961,-10.3309803,3.665522814,6.169857979,25.280898876404493,-84.25842696629213,-592.7977528089888,-7460.865168539326,3015.730337078652,-1462.0674157303372,3
2024-06-15 12:37:45,0.3115412891,-0.228463605,0.04886921868,-9.244012833,2.97599268,3.296815634,36.53488372093024,343.72093023255815,-558.1395348837209,-7325.395348837209,2793.093023255814,-1802.209302325581,3
